ID,dia,tavg,tmin,tmax,insolacion,precipitacion,pmax,pmin,observatorio
58,2019-03-31,"12,8","10,7","15,0","0,0","12,2",-999,-999,ALICANTE/ALACANT
59,2019-04-01,"15,1","12,4","17,8","2,0",Ip,-999,-999,ALICANTE/ALACANT
60,2019-04-02,"16,6","11,9","21,2","10,9","4,8",-999,-999,ALICANTE/ALACANT
61,2019-04-03,"16,3","10,0","22,6","11,5","0,0",-999,-999,ALICANTE/ALACANT
62,2019-04-04,"13,8","10,8","16,8","11,0","0,0",-999,-999,ALICANTE/ALACANT
63,2019-04-05,"13,8","8,5","19,2","7,5","2,8",-999,-999,ALICANTE/ALACANT
64,2019-04-06,"13,2","8,2","18,2","6,0","0,8",-999,-999,ALICANTE/ALACANT
65,2019-04-07,"14,8","9,2","20,4","9,8","0,0",-999,-999,ALICANTE/ALACANT
66,2019-04-08,"18,3","13,4","23,2","3,6","0,0",-999,-999,ALICANTE/ALACANT
67,2019-04-09,"17,0","12,5","21,5","9,5",Ip,-999,-999,ALICANTE/ALACANT
68,2019-04-10,"16,6","11,6","21,5","9,2","0,0",-999,-999,ALICANTE/ALACANT
69,2019-04-11,"15,2","10,2","20,1","12,2",Ip,-999,-999,ALICANTE/ALACANT
70,2019-04-12,"14,4","9,6","19,1","12,4","0,0",-999,-999,ALICANTE/ALACANT
71,2019-04-13,"14,6","8,1","21,2","12,5","0,0",-999,-999,ALICANTE/ALACANT
72,2019-04-14,"20,8","11,7","29,9","12,6","0,0",-999,-999,ALICANTE/ALACANT
73,2019-04-15,"19,4","15,2","23,7","10,9","0,0",-999,-999,ALICANTE/ALACANT
74,2019-04-16,"16,1","12,4","19,8","11,7","0,0",-999,-999,ALICANTE/ALACANT
75,2019-04-17,"15,3","11,1","19,5","10,7","0,0",-999,-999,ALICANTE/ALACANT
76,2019-04-18,"16,4","13,8","19,1","0,1","7,8",-999,-999,ALICANTE/ALACANT
77,2019-04-19,"13,6","12,4","14,7","0,0","46,8",-999,-999,ALICANTE/ALACANT
78,2019-04-20,"14,2","13,0","15,3","0,0","19,0",-999,-999,ALICANTE/ALACANT
79,2019-04-21,"14,6","12,2","17,1","0,3","40,6",-999,-999,ALICANTE/ALACANT
80,2019-04-22,"15,2","11,9","18,5","1,4","1,4",-999,-999,ALICANTE/ALACANT
81,2019-04-23,"16,4","11,5","21,3","5,1","1,2",-999,-999,ALICANTE/ALACANT
82,2019-04-24,"14,8","9,1","20,5","12,7","0,0",-999,-999,ALICANTE/ALACANT
83,2019-04-25,"17,6","11,3","23,8","7,6","0,0",-999,-999,ALICANTE/ALACANT
84,2019-04-26,"18,4","12,5","24,3","12,9","0,0",-999,-999,ALICANTE/ALACANT
85,2019-04-27,"16,5","12,2","20,8","12,9","0,0",-999,-999,ALICANTE/ALACANT
86,2019-04-28,"16,8","11,0","22,5","13,1","0,0",-999,-999,ALICANTE/ALACANT
87,2019-04-29,"15,8","11,0","20,6","10,8","0,0",-999,-999,ALICANTE/ALACANT
88,2019-04-30,"16,4","12,2","20,7","9,1","0,0",-999,-999,ALICANTE/ALACANT
89,2019-05-01,"17,8","14,2","21,5","11,5","0,0",-999,-999,ALICANTE/ALACANT
90,2019-05-02,"17,9","12,9","22,9","12,1","0,0",-999,-999,ALICANTE/ALACANT
91,2019-05-03,"16,2","11,6","20,9","9,9","0,6",-999,-999,ALICANTE/ALACANT
92,2019-05-04,"15,0","10,4","19,6","12,4","0,0",-999,-999,ALICANTE/ALACANT
93,2019-05-05,"16,3","12,2","20,4","13,0","0,0",-999,-999,ALICANTE/ALACANT
94,2019-05-06,"16,0","11,3","20,8","9,0","0,0",-999,-999,ALICANTE/ALACANT
95,2019-05-07,"18,8","15,4","22,1","8,6","0,0",-999,-999,ALICANTE/ALACANT
96,2019-05-08,"22,1","13,9","30,3","9,8","0,0",-999,-999,ALICANTE/ALACANT
97,2019-05-09,"23,2","19,5","27,0","9,4","0,0",-999,-999,ALICANTE/ALACANT
98,2019-05-10,"24,8","18,4","31,3","12,5","0,0",-999,-999,ALICANTE/ALACANT
99,2019-05-11,"23,0","19,0","26,9","13,3","0,0",-999,-999,ALICANTE/ALACANT
100,2019-05-12,"19,5","16,4","22,6","12,6","0,0",-999,-999,ALICANTE/ALACANT
101,2019-05-13,"18,4","14,3","22,5","10,3","0,0",-999,-999,ALICANTE/ALACANT
102,2019-05-14,"18,2","12,3","24,0","13,2","0,0",-999,-999,ALICANTE/ALACANT
103,2019-05-15,"19,0","13,0","25,0","12,9","0,0",-999,-999,ALICANTE/ALACANT
104,2019-05-16,"19,4","16,6","22,2","12,4","0,0",-999,-999,ALICANTE/ALACANT
105,2019-05-17,"20,8","16,1","25,4","11,1","0,0",-999,-999,ALICANTE/ALACANT
106,2019-05-18,"17,9","14,0","21,8","8,6","0,0",-999,-999,ALICANTE/ALACANT
107,2019-05-19,"17,0","12,3","21,8","11,2","0,0",-999,-999,ALICANTE/ALACANT
108,2019-05-20,"17,6","12,8","22,5","10,9",Ip,-999,-999,ALICANTE/ALACANT
109,2019-05-21,"19,6","16,3","22,8","6,7","0,0",-999,-999,ALICANTE/ALACANT
110,2019-05-22,"19,4","14,2","24,6","13,5","0,0",-999,-999,ALICANTE/ALACANT
111,2019-05-23,"21,2","13,7","28,8","12,7","0,0",-999,-999,ALICANTE/ALACANT
112,2019-05-24,"19,0","16,8","21,2","2,3","0,2",-999,-999,ALICANTE/ALACANT
113,2019-05-25,"19,6","15,4","23,8","4,7",Ip,-999,-999,ALICANTE/ALACANT
114,2019-05-26,"20,2","13,9","26,4","12,2","0,0",-999,-999,ALICANTE/ALACANT
115,2019-05-27,"19,8","14,4","25,2","13,2","0,0",-999,-999,ALICANTE/ALACANT
116,2019-05-28,"20,7","16,8","24,6","13,0","0,0",-999,-999,ALICANTE/ALACANT
117,2019-05-29,"18,4","14,5","22,4","13,7","0,0",-999,-999,ALICANTE/ALACANT
118,2019-05-30,"18,3","12,9","23,7","13,7","0,0",-999,-999,ALICANTE/ALACANT
119,2019-05-31,"18,8","13,4","24,1","13,8","0,0",-999,-999,ALICANTE/ALACANT
120,2019-06-01,"19,5","12,9","26,1","13,8","0,0",-999,-999,ALICANTE/ALACANT
121,2019-06-02,"20,2","13,3","27,0","13,8","0,0",-999,-999,ALICANTE/ALACANT
122,2019-06-03,"20,4","14,2","26,7","13,8","0,0",-999,-999,ALICANTE/ALACANT
123,2019-06-04,"20,6","15,1","26,2","13,4","0,0",-999,-999,ALICANTE/ALACANT
124,2019-06-05,"22,8","16,1","29,4","11,8","0,0",-999,-999,ALICANTE/ALACANT
125,2019-06-06,"20,5","15,7","25,3","13,6","0,0",-999,-999,ALICANTE/ALACANT
126,2019-06-07,"20,9","15,4","26,4","13,5","0,0",-999,-999,ALICANTE/ALACANT
127,2019-06-08,"21,4","17,6","25,2","13,0","0,0",-999,-999,ALICANTE/ALACANT
128,2019-06-09,"22,6","19,0","26,3","7,4","0,0",-999,-999,ALICANTE/ALACANT
129,2019-06-10,"21,9","18,1","25,7","11,2","0,0",-999,-999,ALICANTE/ALACANT
130,2019-06-11,"20,6","16,3","24,9","8,2",Ip,-999,-999,ALICANTE/ALACANT
131,2019-06-12,"19,2","14,6","23,7","13,1","0,0",-999,-999,ALICANTE/ALACANT
132,2019-06-13,"22,1","18,3","25,9","11,9","0,0",-999,-999,ALICANTE/ALACANT
133,2019-06-14,"23,6","18,4","28,7","10,3","0,2",-999,-999,ALICANTE/ALACANT
134,2019-06-15,"23,2","18,0","28,4","13,8","0,0",-999,-999,ALICANTE/ALACANT
135,2019-06-16,"21,0","17,0","25,0","10,3","0,0",-999,-999,ALICANTE/ALACANT
136,2019-06-17,"21,6","15,7","27,4","13,9","0,0",-999,-999,ALICANTE/ALACANT
137,2019-06-18,"21,2","15,1","27,3","13,9","0,0",-999,-999,ALICANTE/ALACANT
138,2019-06-19,"24,1","17,4","30,8","13,4","0,0",-999,-999,ALICANTE/ALACANT
139,2019-06-20,"22,0","18,4","25,5","7,6","0,0",-999,-999,ALICANTE/ALACANT
140,2019-06-21,"23,9","20,6","27,2","9,3","0,0",-999,-999,ALICANTE/ALACANT
141,2019-06-22,"22,6","18,9","26,3","12,2","0,0",-999,-999,ALICANTE/ALACANT
142,2019-06-23,"22,4","17,1","27,7","13,3","0,0",-999,-999,ALICANTE/ALACANT
143,2019-06-24,"23,6","18,9","28,3","13,3","0,0",-999,-999,ALICANTE/ALACANT
144,2019-06-25,"23,8","19,1","28,5","11,8","0,0",-999,-999,ALICANTE/ALACANT
145,2019-06-26,"25,9","20,8","31,0","12,7","0,0",-999,-999,ALICANTE/ALACANT
146,2019-06-27,"27,6","21,8","33,5","13,1","0,0",-999,-999,ALICANTE/ALACANT
147,2019-06-28,"27,3","21,7","32,9","13,5","0,0",-999,-999,ALICANTE/ALACANT
148,2019-06-29,"28,0","21,2","34,9","13,9","0,0",-999,-999,ALICANTE/ALACANT
149,2019-06-30,"27,4","20,0","34,9","13,8","0,0",-999,-999,ALICANTE/ALACANT
150,2019-07-01,"25,8","21,8","29,9","10,2","0,0",-999,-999,ALICANTE/ALACANT
151,2019-07-02,"26,0","22,7","29,3","11,3","0,0",-999,-999,ALICANTE/ALACANT
152,2019-07-03,"25,2","19,2","31,2","13,5","0,0",-999,-999,ALICANTE/ALACANT
153,2019-07-04,"25,6","20,3","30,9","12,6","0,0",-999,-999,ALICANTE/ALACANT
154,2019-07-05,"26,2","21,7","30,7","12,1","0,0",-999,-999,ALICANTE/ALACANT
155,2019-07-06,"28,5","23,6","33,4","8,5",Ip,-999,-999,ALICANTE/ALACANT
156,2019-07-07,"30,2","26,0","34,3","8,8",Ip,-999,-999,ALICANTE/ALACANT
157,2019-07-08,"26,0","22,6","29,4","3,9","0,1",-999,-999,ALICANTE/ALACANT
158,2019-07-09,"25,6","20,2","31,0","13,5","0,0",-999,-999,ALICANTE/ALACANT
159,2019-07-10,"25,6","20,7","30,4","13,5","0,0",-999,-999,ALICANTE/ALACANT
160,2019-07-11,"26,2","20,5","31,9","13,3","0,0",-999,-999,ALICANTE/ALACANT
161,2019-07-12,"27,6","21,7","33,5","12,4","0,0",-999,-999,ALICANTE/ALACANT
162,2019-07-13,"29,2","25,4","33,0","9,2",Ip,-999,-999,ALICANTE/ALACANT
163,2019-07-14,"27,4","23,7","31,0","13,1",Ip,-999,-999,ALICANTE/ALACANT
164,2019-07-15,"27,0","22,3","31,8","13,1","0,0",-999,-999,ALICANTE/ALACANT
165,2019-07-16,"26,8","23,3","30,4","10,7","0,0",-999,-999,ALICANTE/ALACANT
166,2019-07-17,"25,8","21,3","30,3","13,4","0,0",-999,-999,ALICANTE/ALACANT
167,2019-07-18,"25,4","20,6","30,2","13,5","0,0",-999,-999,ALICANTE/ALACANT
168,2019-07-19,"25,9","20,6","31,2","13,6","0,0",-999,-999,ALICANTE/ALACANT
169,2019-07-20,"27,8","23,2","32,4","12,3","0,0",-999,-999,ALICANTE/ALACANT
170,2019-07-21,"29,0","23,2","34,7","12,9","0,0",-999,-999,ALICANTE/ALACANT
171,2019-07-22,"28,0","23,1","33,0","12,8","0,0",-999,-999,ALICANTE/ALACANT
172,2019-07-23,"28,0","21,3","34,8","13,0","0,0",-999,-999,ALICANTE/ALACANT
173,2019-07-24,"28,6","22,4","34,8","13,1","0,0",-999,-999,ALICANTE/ALACANT
174,2019-07-25,"27,8","22,6","33,0","12,9","0,0",-999,-999,ALICANTE/ALACANT
175,2019-07-26,"26,2","21,6","30,7","11,6","0,0",-999,-999,ALICANTE/ALACANT
176,2019-07-27,"29,8","23,1","36,6","13,4","0,0",-999,-999,ALICANTE/ALACANT
177,2019-07-28,"26,9","23,5","30,3","12,4","0,0",-999,-999,ALICANTE/ALACANT
178,2019-07-29,"26,0","21,2","30,9","12,3","0,0",-999,-999,ALICANTE/ALACANT
179,2019-07-30,"26,0","21,9","30,0","6,8","0,0",-999,-999,ALICANTE/ALACANT
180,2019-07-31,"25,2","21,9","28,4","7,5","0,0",-999,-999,ALICANTE/ALACANT
181,2019-08-01,"25,8","21,0","30,6","10,5","0,0",-999,-999,ALICANTE/ALACANT
182,2019-08-02,"26,8","22,3","31,4","10,5","0,0",-999,-999,ALICANTE/ALACANT
183,2019-08-03,"26,5","22,5","30,5","12,4","0,0",-999,-999,ALICANTE/ALACANT
184,2019-08-04,"27,0","21,9","32,0","12,5","0,0",-999,-999,ALICANTE/ALACANT
185,2019-08-05,"27,1","23,2","31,0","9,3","0,0",-999,-999,ALICANTE/ALACANT
186,2019-08-06,"27,8","23,7","31,8","12,6","0,0",-999,-999,ALICANTE/ALACANT
187,2019-08-07,"28,6","22,7","34,6","10,4","0,0",-999,-999,ALICANTE/ALACANT
188,2019-08-08,"28,4","24,0","32,7","12,2","0,0",-999,-999,ALICANTE/ALACANT
189,2019-08-09,"29,6","22,6","36,5","12,8","0,0",-999,-999,ALICANTE/ALACANT
190,2019-08-10,"29,4","23,8","35,0","12,5","0,4",-999,-999,ALICANTE/ALACANT
191,2019-08-11,"27,8","24,8","30,9","10,3","0,0",-999,-999,ALICANTE/ALACANT
192,2019-08-12,"27,8","24,1","31,6","11,6","0,0",-999,-999,ALICANTE/ALACANT
193,2019-08-13,"26,2","23,8","28,6","10,7","0,0",-999,-999,ALICANTE/ALACANT
194,2019-08-14,"25,4","20,9","30,0","12,8","0,0",-999,-999,ALICANTE/ALACANT
195,2019-08-15,"26,2","21,2","31,1","12,9","0,0",-999,-999,ALICANTE/ALACANT
196,2019-08-16,"25,8","20,5","31,2","12,7","0,0",-999,-999,ALICANTE/ALACANT
197,2019-08-17,"26,0","20,8","31,2","12,6","0,0",-999,-999,ALICANTE/ALACANT
198,2019-08-18,"26,5","20,6","32,4","12,6","0,0",-999,-999,ALICANTE/ALACANT
199,2019-08-19,"25,9","21,2","30,6","9,1","0,0",-999,-999,ALICANTE/ALACANT
200,2019-08-20,"27,0","23,3","30,7","7,6","86,8",-999,-999,ALICANTE/ALACANT
201,2019-08-21,"25,1","22,2","28,0","10,1","0,0",-999,-999,ALICANTE/ALACANT
202,2019-08-22,"24,6","20,2","29,1","12,7","0,0",-999,-999,ALICANTE/ALACANT
203,2019-08-23,"24,7","19,4","30,0","12,7","0,0",-999,-999,ALICANTE/ALACANT
204,2019-08-24,"24,8","19,6","30,0","11,7","0,0",-999,-999,ALICANTE/ALACANT
205,2019-08-25,"25,0","20,3","29,6","12,0","0,0",-999,-999,ALICANTE/ALACANT
206,2019-08-26,"25,0","21,5","28,5","8,9","6,8",-999,-999,ALICANTE/ALACANT
207,2019-08-27,"23,8","18,9","28,7","5,7","12,8",-999,-999,ALICANTE/ALACANT
208,2019-08-28,"23,4","18,2","28,5","12,4","0,0",-999,-999,ALICANTE/ALACANT
209,2019-08-29,"24,8","20,5","29,1","11,3","0,0",-999,-999,ALICANTE/ALACANT
210,2019-08-30,"25,1","19,8","30,4","11,0","0,0",-999,-999,ALICANTE/ALACANT
211,2019-08-31,"25,6","19,9","31,2","12,3","0,0",-999,-999,ALICANTE/ALACANT
212,2019-09-01,"26,2","20,6","31,9","11,5","0,2",-999,-999,ALICANTE/ALACANT
213,2019-09-02,"25,8","22,8","28,7","5,0","0,6",-999,-999,ALICANTE/ALACANT
214,2019-09-03,"25,1","20,8","29,4","10,9","0,0",-999,-999,ALICANTE/ALACANT
215,2019-09-04,"25,6","21,8","29,4","10,8","0,0",-999,-999,ALICANTE/ALACANT
216,2019-09-05,"25,2","22,1","28,2","8,2",Ip,-999,-999,ALICANTE/ALACANT
217,2019-09-06,"24,8","21,1","28,4","9,1","31,2",-999,-999,ALICANTE/ALACANT
218,2019-09-07,"23,4","20,5","26,4","5,0","0,0",-999,-999,ALICANTE/ALACANT
219,2019-09-08,"23,0","18,6","27,5","9,9","0,0",-999,-999,ALICANTE/ALACANT
220,2019-09-09,"23,4","18,7","28,0","11,4","0,0",-999,-999,ALICANTE/ALACANT
221,2019-09-10,"24,1","18,0","30,2","7,8","0,2",-999,-999,ALICANTE/ALACANT
222,2019-09-11,"19,4","15,9","23,0","6,7","28,0",-999,-999,ALICANTE/ALACANT
223,2019-09-12,"19,0","16,5","21,4","0,0","52,8",-999,-999,ALICANTE/ALACANT
224,2019-09-13,"22,1","19,3","24,9","3,3","12,8",-999,-999,ALICANTE/ALACANT
225,2019-09-14,"22,8","18,7","26,8","4,7","0,0",-999,-999,ALICANTE/ALACANT
226,2019-09-15,"24,0","19,5","28,6","10,4","0,0",-999,-999,ALICANTE/ALACANT
227,2019-09-16,"23,9","19,6","28,2","11,2","0,0",-999,-999,ALICANTE/ALACANT
228,2019-09-17,"24,2","20,3","28,1","7,3","0,0",-999,-999,ALICANTE/ALACANT
229,2019-09-18,"23,8","19,2","28,3","10,8","0,0",-999,-999,ALICANTE/ALACANT
230,2019-09-19,"23,0","18,6","27,3","11,1","0,0",-999,-999,ALICANTE/ALACANT
231,2019-09-20,"23,8","20,7","26,8","7,3","0,0",-999,-999,ALICANTE/ALACANT
232,2019-09-21,"25,3","20,9","29,7","7,3",Ip,-999,-999,ALICANTE/ALACANT
233,2019-09-22,"25,0","21,8","28,1","10,3","0,0",-999,-999,ALICANTE/ALACANT
234,2019-09-23,"24,0","20,1","27,8","10,0","0,0",-999,-999,ALICANTE/ALACANT
235,2019-09-24,"25,0","17,8","32,1","11,5","0,0",-999,-999,ALICANTE/ALACANT
236,2019-09-25,"26,3","19,8","32,8","11,4","0,0",-999,-999,ALICANTE/ALACANT
237,2019-09-26,"23,2","18,5","27,8","10,9","0,0",-999,-999,ALICANTE/ALACANT
238,2019-09-27,"22,8","17,5","28,2","11,3","0,0",-999,-999,ALICANTE/ALACANT
239,2019-09-28,"22,6","18,3","26,9","8,6","0,0",-999,-999,ALICANTE/ALACANT
240,2019-09-29,"22,8","16,9","28,8","11,1","0,0",-999,-999,ALICANTE/ALACANT
241,2019-09-30,"22,4","17,1","27,6","10,7","0,0",-999,-999,ALICANTE/ALACANT
242,2019-10-01,"24,7","17,9","31,5","9,7","0,0",-999,-999,ALICANTE/ALACANT
243,2019-10-02,"24,3","18,7","29,9","11,0","0,0",-999,-999,ALICANTE/ALACANT
244,2019-10-03,"22,2","15,9","28,5","10,4","0,0",-999,-999,ALICANTE/ALACANT
245,2019-10-04,"20,8","14,3","27,2","11,0","0,0",-999,-999,ALICANTE/ALACANT
246,2019-10-05,"21,4","15,9","27,0","10,9","0,0",-999,-999,ALICANTE/ALACANT
247,2019-10-06,"21,6","16,4","26,8","10,0","0,0",-999,-999,ALICANTE/ALACANT
248,2019-10-07,"22,3","17,9","26,7","8,7","0,0",-999,-999,ALICANTE/ALACANT
249,2019-10-08,"22,2","18,0","26,3","8,4","0,0",-999,-999,ALICANTE/ALACANT
250,2019-10-09,"21,5","16,6","26,4","10,7","0,0",-999,-999,ALICANTE/ALACANT
251,2019-10-10,"22,6","18,5","26,7","9,0","0,0",-999,-999,ALICANTE/ALACANT
252,2019-10-11,"22,0","18,2","25,8","9,4","0,0",-999,-999,ALICANTE/ALACANT
253,2019-10-12,"22,0","17,8","26,3","7,9","0,0",-999,-999,ALICANTE/ALACANT
254,2019-10-13,"22,0","16,4","27,5","10,1","0,0",-999,-999,ALICANTE/ALACANT
255,2019-10-14,"21,1","16,7","25,5","6,6","10,4",-999,-999,ALICANTE/ALACANT
256,2019-10-15,"19,2","13,8","24,7","10,7","0,0",-999,-999,ALICANTE/ALACANT
257,2019-10-16,"18,3","11,5","25,1","10,7","0,0",-999,-999,ALICANTE/ALACANT
258,2019-10-17,"20,2","12,3","28,1","9,6","0,0",-999,-999,ALICANTE/ALACANT
259,2019-10-18,"21,8","15,1","28,5","9,6","0,0",-999,-999,ALICANTE/ALACANT
260,2019-10-19,"19,9","13,2","26,6","9,7","0,0",-999,-999,ALICANTE/ALACANT
261,2019-10-20,"18,2","13,9","22,6","2,9","0,2",-999,-999,ALICANTE/ALACANT
262,2019-10-21,"16,0","12,2","19,8","1,2","29,8",-999,-999,ALICANTE/ALACANT
263,2019-10-22,"13,5","11,7","15,3","0,0","7,0",-999,-999,ALICANTE/ALACANT
264,2019-10-23,"15,7","10,7","20,7","5,6",Ip,-999,-999,ALICANTE/ALACANT
265,2019-10-24,"16,4","10,6","22,1","10,2","0,0",-999,-999,ALICANTE/ALACANT
266,2019-10-25,"17,9","12,5","23,3","10,0","0,0",-999,-999,ALICANTE/ALACANT
267,2019-10-26,"17,1","11,3","22,9","10,0","0,0",-999,-999,ALICANTE/ALACANT
268,2019-10-27,"18,0","12,4","23,5","9,6","0,0",-999,-999,ALICANTE/ALACANT
269,2019-10-28,"17,0","12,2","21,7","4,9","0,0",-999,-999,ALICANTE/ALACANT
270,2019-10-29,"19,9","13,0","26,8","9,0","0,0",-999,-999,ALICANTE/ALACANT
271,2019-10-30,"18,8","13,6","24,0","9,2","0,0",-999,-999,ALICANTE/ALACANT
272,2019-10-31,"22,5","17,6","27,4","8,6","0,0",-999,-999,ALICANTE/ALACANT
273,2019-11-01,"23,7","18,7","28,7","7,4","0,0",-999,-999,ALICANTE/ALACANT
274,2019-11-02,"23,2","18,7","27,7","7,7","0,0",-999,-999,ALICANTE/ALACANT
275,2019-11-03,"23,2","19,3","27,0","7,9","0,0",-999,-999,ALICANTE/ALACANT
276,2019-11-04,"22,4","17,7","27,1","9,8",Ip,-999,-999,ALICANTE/ALACANT
277,2019-11-05,"18,1","15,2","21,0","9,5","0,0",-999,-999,ALICANTE/ALACANT
278,2019-11-06,"17,4","12,8","22,0","10,0","0,0",-999,-999,ALICANTE/ALACANT
279,2019-11-07,"17,2","11,9","22,5","8,4","0,0",-999,-999,ALICANTE/ALACANT
280,2019-11-08,"14,2","11,1","17,3","9,4","0,0",-999,-999,ALICANTE/ALACANT
281,2019-11-09,"15,0","10,1","19,8","8,9","0,2",-999,-999,ALICANTE/ALACANT
282,2019-11-10,"14,8","11,6","18,1","8,8","0,0",-999,-999,ALICANTE/ALACANT
283,2019-11-11,"13,2","8,2","18,3","7,4","0,0",-999,-999,ALICANTE/ALACANT
